Price(VND),Acreage,Area,Bedrooms,Floors,Parking,Address,District
105000000000.0,404,10x35m,1,10.0,0,"Đường Nguyễn Văn Đậu, Phường Gia Định, Hồ Chí Minh",Phường Gia Định
120000000000.0,215,7x40m,1,8.0,0,"Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
49000000000.0,280,9x40m,1,7.0,0,"Đường Ung Văn Khiêm, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Phường Thạnh Mỹ Tây
71000000000.0,100,7x18m,10,8.0,0,"Đường Trương Định, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
61000000000.0,160,16x12m,5,6.0,0,"Đường Trần Lựu, Phường An Khánh, Hồ Chí Minh",Phường An Khánh
69000000000.0,450,11x45m,1,5.0,0,"Đường Lê Quang Định, Phường Bình Lợi Trung, Hồ Chí Minh",Phường Bình Lợi Trung
42000000000.0,160,9x20m,1,2.0,0,"Đường Âu Cơ, Phường Bảy Hiền, Hồ Chí Minh",Phường Bảy Hiền
280000000000.0,600,16x42m,1,14.0,0,"Đường Phạm Văn Đồng, Phường Bình Lợi Trung, Hồ Chí Minh",Phường Bình Lợi Trung
69000000000.0,415,10x45m,1,5.0,0,"Đường Lê Quang Định, Phường Bình Lợi Trung, Hồ Chí Minh",Phường Bình Lợi Trung
150000000000.0,300,10x30m,30,8.0,0,"Đường Phạm Viết Chánh, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
110000000000.0,220,14x18m,2,2.0,0,"Đường Trần Hưng Đạo, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
95000000000.0,452,35x23m,4,4.0,1,"Đường Trần Huy Liệu, Phường Cầu Kiệu, Hồ Chí Minh",Phường Cầu Kiệu
115000000000.0,282,12x21m,8,8.0,1,"Đường Nguyễn Thượng Hiền, Phường Đức Nhuận, Hồ Chí Minh",Phường Đức Nhuận
215000000000.0,438,18x22m,7,7.0,1,"Đường Cửu Long, Phường Tân Sơn Hòa, Hồ Chí Minh",Phường Tân Sơn Hòa
36000000000.0,70,"4,1x19m",6,4.0,1,"Đường An Dương Vương, Phường Chợ Quán, Hồ Chí Minh",Phường Chợ Quán
10500000000.0,70,"6,5x11m",4,5.0,0,"Đường Phan Huy Ích, Phường An Hội Tây, Hồ Chí Minh",Phường An Hội Tây
